"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,11 Dec 2022 04:00:00 to 12 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6210424,,EAST COAST BUBBLE GUM VODKA,,,,,50.99,
,,,,,,,,
,,GST Subtotal,,,,,50.99,
,,,,,,,,
,,GST Amount,,,,,4.64,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,50.99,
,,,,,,,,
,,,,,,,,
2022-12-11 11:44:26,,,202.0,191567,TODD K,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,GST Subtotal,,,,,20,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,1.82,
,,,,,,,,
,,CASH,,,,,20,
,,,,,,,,
,,,,,,,,
2022-12-11 11:45:50,,,201.0,615768,TODD K,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,GST Amount,,,,,2.77,
,,EFTPOS,,,,,30.490000000000002,
,,,,,,,,
2022-12-11 12:09:34,,,202.0,191570,TODD K,,,
,,,,,,,,
6030046,,CARL DRY BTL CTN,,,,,57.99,
,,,,,,,,
,,,,,,,,
6628,,-9.99  P49 1 FOR $48.00,,,,,,
6628,,P49 1 FOR $48.00,,,,,-9.99,
,,GST Subtotal,,,,,48,
,,GST Amount,,,,,4.36,
,,EFTPOS,,,,,48,
,,,,,,,,5337
2022-12-11 12:13:36,,,201.0,615779,TODD K,,,
,,,,,,,,
6030141,,4 PINES PACIFIC ALE STB CTN,,,,,69.99,
,,,,,,,,
8334,,-14.99  P43 1 FOR $55.00,,,,,,
,,,,,,,,
8334,,P43 1 FOR $55.00,,,,,-14.99,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,55,
,,GST Amount,,,,,5,
VOID,,,,,,,,5342
6040037,,BIGHEAD 300ML 6PK,,,,,23.990000000000002,
VOID,,,,,,,,
6040036,,BIGHEAD 330ML CTN,,,,,70.99,
,,EFTPOS,,,,,55,
,,,,,,,,6310709
2022-12-11 12:13:59,,,201.0,615780,TODD K,,,
,,,,,,,,
6310574,,GORDONS PINK AND SODA STUB 4PK,,,,,21.990000000000002,
,,,,,,,,
6742,,0.01  P49 1 FOR $22.00,,,,,,
,,,,,,,,
6742,,P49 1 FOR $22.00,,,,,0.01,
,,,,,,,,
,,GST Subtotal,,,,,22,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,2,
,,EFTPOS,,,,,22,
,,,,,,,,4900
2022-12-11 12:14:34,,,201.0,615781,TODD K,,,
,,,,,,,,
6030098,,GREAT NTHN ORIGINAL 700ML EA,,,,,7.5,
,,,,,,,,
,,GST Subtotal,,,,,7.5,
,,,,,,,,
,,GST Amount,,,,,0.68,
,,,,,,,,
,,EFTPOS,,,,,7.5,
,,,,,,,,
,,,,,,,,
2022-12-11 12:15:36,,,201.0,615782,TODD K,,,
,,,,,,,,
6020158,,HAHN SUPER DRY GLUTEN FREE 6PK,,,,,19.990000000000002,
,,,,,,,,
,,GST Subtotal,,,,,19.990000000000002,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,1.82,
,,,,,,,,
,,EFTPOS,,,,,19.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-11 12:20:13,,,202.0,191571,TODD K,,,
,,,,,,,,
6030018,,VB STUB 6PK,,,,,20.490000000000002,
,,,,,,,,
,,GST Subtotal,,,,,20.490000000000002,
,,,,,,,,
,,GST Amount,,,,,1.86,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,20.490000000000002,
,,,,,,,,
,,,,,,,,
2022-12-11 12:29:07,,,202.0,191572,TODD K,,,
,,,,,,,,
6030004,,GREAT NTHN ORIGINAL CAN 30CTN,,,,,66.99,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-3.35,
,,,,,,,,
,,GST Subtotal,,,,,63.64,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,5.79,
,,,,,,,,
,,EFTPOS,,,,,63.64,
,,,,,,,,
,,,,,,,,
2022-12-11 12:29:41,,,202.0,191573,TODD K,,,
,,,,,,,,
6311187,,GOOD TIDES MIXED 10PK,,,,,38.99,
,,,,,,,,
6030078,,GREAT NTHN MID CAN 6PK,,,,,15.99,
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,58.97,
,,,,,,,,
,,GST Amount,,,,,5.36,
,,,,,,,,
,,EFTPOS,,,,,58.97,
,,,,,,,,
,,,,,,,,
2022-12-11 12:30:26,,,201.0,615783,TODD K,,,
,,,,,,,,
6420014,,YELLOW TAIL BUBBLES 750ML,,,,,11.99,
,,,,,,,,
,,,,,,,,
8306,,-2.99  P43 1 FOR $9.00,,,,,,
,,,,,,,,
