"
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,01 Dec 2022 04:00:00 to 02 Dec 2022 03:59:59,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-01 13:57:47,,,202.0,189525.0,TODD K,,,
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-01 13:58:06,,,201.0,614407.0,TODD K,,,
,,,,,,,,
6020016,,XXXX BITTER STUB 6PK,,,,,19.990000000000002,
,,,,,,,,
,,GST Subtotal,,,,,19.990000000000002,
,,,,,,,,
,,GST Amount,,,,,1.82,
,,,,,,,,
,,EFTPOS,,,,,19.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-01 14:04:18,,,202.0,189526.0,TODD K,,,
,,,,,,,,
6040683,,YOUR MATES LARRY CAN 4PK,,,,,20.990000000000002,
5317,,-2.09  P47 1 FOR $18.90,,,,,,
,,,,,,,,
5317,,P47 1 FOR $18.90,,,,,-2.09,
,,,,,,,,
,,GST Subtotal,,,,,18.900000000000002,
,,,,,,,,
,,GST Amount,,,,,1.72,
,,,,,,,,
,,EFTPOS,,,,,18.900000000000002,
,,,,,,,,
,,,,,,,,
2022-12-01 14:04:31,,,202.0,189527.0,TODD K,,,
,,,,,,,,
6040684,,YOUR MATES LARRY CAN CTN,,,,,63.99,
,,10% Item Discount 4,,,,,-6.4,
,,GST Subtotal,,,,,57.59,
,,GST Amount,,,,,5.24,
,,,,,,,,
,,EFTPOS,,,,,57.59,
,,,,,,,,
,,,,,,,,
2022-12-01 14:09:05,,,202.0,189528.0,TODD K,,,
,,,,,,,,6100119
6420036,,MOET CHANDON BRUT NV,,,,,,
,,,,,6,,467.94,
,,5% BSHOP L.LEGEND,,,,,-23.400000000000002,
,,GST Subtotal,,,,,444.54,
,,GST Amount,,,,,40.410000000000004,
,,,,,,,,
,,EFTPOS,,,,,444.54,
,,,,,,,,
,,,,,,,,
2022-12-01 14:09:30,,,201.0,614408.0,TODD K,,,
,,,,,,,,
,,,,,,,,
6310200,,JBEAM COLA 500ML BTL EA,,,,,8.5,
,,10% Item Discount 4,,,,,-0.85,
